,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
Wholesale trade,871529,1000,192070.9467,549.0002335,181.405726,257.8506479,988.2566074,1063.099904,443.2109013,75.75889921,415.51126,18.70408809,6.306880124,3.712449273,0.873198706,1.320473496,0.250703119,0.021515902,0.128539627,3.866344447,1.061810747,1.703107859,1.984714752,0.453846007,2.122377755,0.042789029,1.833014186,1.040006152,0.361496756,0.295489639,0.088138083,0.00783538,0.040048176,1.114549003,0.309877745,0.000446127,0.000432547
Air transportation,102369,1000,1983885.461,620.0082386,81.10159459,191.6872407,892.7970739,2864.596426,792.0876475,245.1140782,992.9722461,43.43828476,20.10437878,10.04646953,4.893070428,3.44756213,1.174476644,0.076352233,0.46644782,12.15449946,3.419315969,9.266657924,3.298426277,0.809845936,6.605592916,0.123567378,8.978206292,3.948529064,2.776867478,1.415691697,0.566840223,0.036003886,0.234273944,5.252679749,1.598927699,0.00394514,0.001541977
Rail transportation,42289,1000,1202362.209,505.8109772,7.177355721,474.560235,987.5485679,23374.79289,2076.164718,719.268923,1563.701888,45.979273,20.76953315,11.96759264,3.651500933,3.618687813,1.030770281,0.077281292,0.423700191,12.9139941,3.382332163,14.03025937,2.636295738,1.268324432,2.73308969,0.101481781,11.48719081,6.577050438,2.075498138,1.995186313,0.562038445,0.04395597,0.233461502,7.095291418,1.89783677,0.001833405,0.001076882
Water transportation,27482,1000,2776978.673,507.2122315,17.59662691,310.4538704,835.2627288,35225.01682,16169.31162,2170.803779,2634.75731,37.55794728,69.55257235,33.08060635,18.53693555,11.29259065,4.931294446,0.206088854,1.505056498,42.27489352,11.79531558,34.75612645,21.77157201,1.716585544,11.03093975,0.274492849,54.33021364,24.69990191,16.20500848,7.840033237,4.231697033,0.160502198,1.193070775,33.03207281,9.159462085,0.016013769,0.005144792
Truck transportation,212125,1000,1400118.304,635.8717242,46.982016,306.9851346,989.8388748,10858.25813,901.8348884,556.4789374,1448.997443,45.93719777,28.5072074,15.239993,5.156504135,5.964561231,1.448252158,0.097315799,0.600581078,17.32304063,4.939602182,18.19252698,3.137444485,1.619592091,5.439204002,0.11773218,15.26134231,7.950748883,3.32719163,2.671725309,0.919657319,0.058036801,0.333982365,9.414846305,2.564192916,0.004190464,0.002346122
Transit and ground passenger transportation,40313,1000,1872606.64,949.7063995,89.2366196,-49.67334918,989.2696699,18861.49799,1994.760691,1143.384995,2504.351185,82.88276176,28.95085872,17.64289877,4.590749647,4.673458062,1.310103197,0.132301496,0.601347544,18.37087726,4.473370217,17.06524037,7.296674188,2.480756805,1.909581946,0.198471436,3.578464923,2.174899469,0.619437214,0.518007242,0.169843623,0.019302464,0.076974911,2.273235651,0.550476095,0.001199079,0.000774385
Pipeline transportation,22316,1000,4401673.975,542.8931925,61.95917884,382.2153322,987.0677036,2713.848777,1413.484631,172.2565562,4850.15261,39.26054475,17.84053574,10.77360991,2.767861296,3.112266315,0.760356083,0.074664557,0.351777575,11.19340281,2.818338888,4.070323495,6.290700158,4.046516236,3.21180795,0.221114221,5.0335977,3.110558485,0.78003438,0.85909676,0.166757546,0.024920662,0.092229867,3.09885867,0.813276834,0.000878023,0.0006795
Scenic and sightseeing transportation and support activities for transportation,55907,1000,505071.5619,618.889693,19.2581474,346.6791144,984.8269548,9997.578697,1222.679199,399.123715,687.2162946,32.36999691,44.56423698,22.96591895,9.255063723,8.527204439,2.715582812,0.145597583,0.954869477,27.35107365,7.51030958,13.54286613,4.964525558,0.825958351,25.12093889,0.108473025,33.85009987,16.87175016,8.109552207,5.641918216,2.367498005,0.11628321,0.743098073,20.98791013,5.560417186,0.007761992,0.003057452
Postal service,66501,1000,255879.272,927.036145,10.31899286,50.80871447,988.1638523,1637.982062,386.9454744,101.2069904,271.3726707,22.92145447,10.61963921,6.288405385,2.007775694,1.424970863,0.576814846,0.028178118,0.293494307,6.265192912,1.977128849,4.345690028,1.637296988,0.384995582,4.200934026,0.047862568,7.300507703,4.291950507,1.527610644,0.808375464,0.42952895,0.016580492,0.226461647,4.172215567,1.453805113,0.000698532,0.001275534
Couriers and messengers,61509,1000,1225182.65,702.0157168,30.94259743,249.3932212,982.3515354,11693.19049,895.4090556,607.1257663,1571.735913,46.66312569,90.68421973,46.77877226,6.609948333,33.57540128,1.840631023,0.174787804,1.704679032,50.00305137,19.0107539,31.97634436,4.250671101,2.696807706,51.05360627,0.548447833,84.13997292,42.93181477,5.485055417,32.49271244,1.511369044,0.149846631,1.569174617,45.86604179,17.98955891,0.015731179,0.017417879
Warehousing and storage,42698,1000,482744.8236,742.0795561,47.92815712,205.6093459,995.6170591,1338.190241,1338.343747,111.6157669,250.1797196,18.70672413,11.0299652,6.866011537,1.274594288,2.216630639,0.421664449,0.035037717,0.216026574,6.982401597,1.728269305,2.239850183,6.309659722,0.31834397,2.097378881,0.064663132,0.325256752,0.157031943,0.091550067,0.054298233,0.015927419,0.000962766,0.005486324,0.193707874,0.057084551,0.000253239,0.000357118
Retail trade,908295,1000,264801.961,540.9631168,164.3965657,290.9866473,996.3463298,880.8450247,755.5488184,82.35327193,1133.848792,22.70334512,7.906406117,4.810626852,1.051370317,1.520776903,0.337426981,0.026551086,0.159653978,4.987580922,1.253992948,2.003337261,3.509070952,1.28956474,1.064357232,0.040052475,1.820766544,0.982495177,0.364100794,0.324485133,0.103710117,0.006568771,0.039406551,1.121671553,0.308988128,0.000338198,0.000298722
Newspaper publishers,14745,1000,316943.7039,620.2621703,34.8200026,335.7447863,990.8269592,1180.178955,1074.907301,133.9135032,397.6138203,41.45703241,9.472506375,5.94240576,1.035609111,1.927564097,0.344409379,0.033521579,0.18899645,5.950229259,1.50664795,2.292977815,4.529893205,0.425060006,2.121608218,0.102907166,0.112950786,0.055838831,0.025545235,0.021641798,0.007001072,0.000327077,0.002596772,0.068301684,0.020022025,0.000152711,0.000380173
Periodical publishers,19700,1000,271735.4948,572.7853001,35.17429552,382.3014033,990.2609989,1076.069877,712.3713443,102.042692,475.5545703,37.96332612,8.374410994,4.998154255,0.963576612,1.91719781,0.302029298,0.026595814,0.166857205,5.13250184,1.41678831,2.325615311,3.111990238,0.491726688,2.376043974,0.068905006,0.044243894,0.032143105,0.004014259,0.005870746,0.001282426,0.000131843,0.000801516,0.02760424,0.006948839,0.00049544,0.000590447
Book publishers,26880,1000,213315.9317,493.872506,32.54017744,465.2901302,991.7028136,833.0714584,556.7680554,80.36180493,306.4563967,24.78552882,6.527232318,3.914560115,0.7542993,1.467636449,0.239314779,0.020926827,0.130494847,4.009725435,1.099118493,1.884735142,2.450288875,0.331847025,1.806666169,0.053624349,0.138599527,0.087096528,0.015607411,0.025677098,0.006593905,0.000504528,0.003120057,0.082376085,0.025727462,0.000359527,0.000443953
"Directory, mailing list, and other publishers",12148,1000,239254.8756,496.0722563,35.15988972,459.8962133,991.1283594,871.58899,642.832983,87.89622039,427.9641187,31.27105148,6.941986843,4.217549077,0.813836773,1.490903008,0.25817851,0.022947123,0.138572352,4.302879461,1.142777868,1.858786693,2.833399582,0.44544958,1.745454291,0.058840959,0.042369578,0.026358201,0.006604156,0.006364377,0.002000393,0.000174239,0.000868212,0.026714629,0.006626759,0.000305808,0.000394207
Software publishers,91299,1000,100655.7399,582.6528658,33.11973188,363.7587782,979.5313759,294.1166414,231.6317436,30.47100125,99.25570611,16.67821048,2.226546008,1.364891822,0.283556484,0.436075213,0.089660242,0.007584595,0.044777652,1.398424843,0.354742603,0.61574638,1.046991343,0.100618031,0.443127122,0.020060461,0.006030954,0.003404053,0.001090589,0.000930095,0.00043699,1.94E-05,0.00014984,0.003777364,0.000974082,8.09E-05,9.08E-05
Motion picture and video industries,67950,1000,144475.6344,355.9778712,52.34307295,587.3503089,995.671253,397.9180472,409.1617984,41.41858545,102.861219,13.05387512,3.489510577,2.175787009,0.417379777,0.677417626,0.138089309,0.01155216,0.069284696,2.210421374,0.545000993,0.815917772,1.91150049,0.10810647,0.629566274,0.02441411,0.027164326,0.011120243,0.009617306,0.002457364,0.003159876,5.37E-05,0.00075586,0.01625564,0.004855222,7.50E-05,0.000108309
Sound recording industries,16109,1000,241054.2343,514.333017,44.55086441,405.4061085,964.2899899,786.3269157,605.2870925,81.5010671,235.6720701,31.03901288,6.407915863,3.904800893,0.774346686,1.317567974,0.257358978,0.022977405,0.130863927,3.973574892,1.05439683,1.874536658,2.773682796,0.264182273,1.450658059,0.044819578,0.28580419,0.172394903,0.032489941,0.046055675,0.023329811,0.00275293,0.008780929,0.155622962,0.061586886,0.000265736,0.000361971
Radio and television broadcasting,10141,1000,175697.1917,490.4591722,50.63233827,452.305031,993.3965414,391.1778138,387.1415104,44.58190528,125.3281256,21.72033213,3.346323146,2.07746812,0.438382967,0.609941273,0.141783564,0.011579208,0.067168014,2.12422007,0.518529936,0.868887971,1.789603362,0.125344027,0.533847329,0.028637717,0.045561749,0.022291365,0.011760354,0.00504056,0.005070084,0.000114852,0.001284533,0.02740333,0.007982921,8.47E-05,9.24E-05
Cable and other subscription programming,9884,1000,182123.9855,396.2840617,46.16824458,549.8066573,992.2589636,419.2266241,416.9017591,48.43165026,139.9945613,19.81477954,3.606159989,2.234145878,0.47468661,0.663429342,0.149418189,0.012589239,0.07189073,2.283296733,0.561907476,0.956022909,1.918159136,0.140774236,0.559036085,0.032164536,0.052595289,0.0231947,0.013216184,0.01049276,0.00426214,0.00015363,0.001275875,0.030068545,0.010227024,9.78E-05,0.000109502
Internet publishing and broadcasting,6673,1000,237997.6391,663.7767379,29.06506012,294.3464051,987.1882031,819.8077606,638.0495792,89.15178577,321.0143739,34.42377254,6.836763856,4.095984412,0.857753358,1.463380702,0.260557354,0.022792025,0.136296004,4.220828141,1.134537025,1.969786351,2.828302857,0.344833346,1.636647012,0.057141727,0.058472368,0.024693405,0.018791134,0.005488337,0.007546634,0.000198713,0.001754145,0.034924088,0.010312801,0.000382519,0.000417044
Telecommunications,410438,1000,212536.147,420.6210598,104.4895732,450.9400367,976.0506697,429.8449477,436.0879875,51.54968446,148.2794947,16.39826936,3.872313639,2.409620026,0.526186731,0.671417887,0.172721054,0.013695687,0.078672254,2.47123756,0.594840967,1.095079968,2.003499627,0.154485424,0.583387557,0.035857966,0.195640051,0.111393614,0.0424622,0.021230388,0.014912126,0.000767148,0.004874575,0.122843179,0.032813326,9.01E-05,8.87E-05
Internet service providers and web search portals,34318,1000,171733.2725,419.2769504,64.97483104,497.9205597,982.1723412,399.622927,373.8369126,46.05571384,133.449957,17.25532627,3.387075057,2.095355059,0.453276453,0.612953523,0.145134923,0.011920841,0.068434257,2.148746194,0.526991106,0.951546918,1.706859443,0.137339641,0.561102271,0.030223762,0.002328768,0.001169941,0.000400866,0.000467688,0.000219259,6.44E-06,6.46E-05,0.001634087,0.000292446,9.62E-05,9.90E-05
"Data processing, hosting, and related services",51023,1000,160278.1831,601.6892393,31.32123449,349.577403,982.5878768,571.0251057,344.1760172,57.44765484,192.3103477,24.51530998,4.301650037,2.569315252,0.553212565,0.908349735,0.170465248,0.013884534,0.086422703,2.659200316,0.712724955,1.314905114,1.57512933,0.212226868,1.168954068,0.030411323,0.009506454,0.005031493,0.001367521,0.002016194,0.000793635,3.54E-05,0.000262203,0.006821073,0.001104274,0.000251762,0.000258143
Other information services,8106,1000,224575.8839,595.5674357,22.65778778,367.5394763,985.7646998,504.7852306,544.542798,56.1426841,151.1774866,27.68353074,4.531014676,2.836903119,0.546718774,0.855512446,0.185783366,0.015412591,0.09068438,2.881420826,0.700961023,1.074718315,2.529556672,0.150886648,0.740822176,0.035024079,0.032931884,0.017585577,0.005016262,0.003334468,0.005713574,0.000171198,0.001110805,0.01983479,0.005891196,8.09E-05,0.000119949
Nondepository credit intermediation and related activities,206138,1000,109765.8581,474.8682812,41.48682672,471.2547026,987.6098105,262.6046133,263.7122641,29.51180312,80.28416015,16.47011507,2.203494804,1.380712966,0.278453544,0.399766409,0.092362525,0.007689003,0.044510358,1.405850634,0.338009975,0.565536728,1.206056805,0.079874664,0.335478787,0.016546629,0.025452597,0.017841502,0.002207057,0.00325972,0.001373936,0.000132692,0.00063769,0.016648744,0.003899621,3.78E-05,4.96E-05
"Securities, commodity contracts, investments",323928,1000,100060.1948,630.3466806,26.10796865,304.2277027,960.682352,276.9774718,246.991773,28.58318334,82.66285276,12.62408335,2.337339726,1.430075022,0.286174251,0.472259796,0.094241243,0.007683035,0.046906377,1.46831471,0.373538329,0.619422637,1.135317196,0.086060772,0.479391417,0.017143813,0.021928359,0.013511194,0.002652077,0.003070159,0.002033666,0.000101005,0.000560258,0.014826596,0.003161698,8.88E-05,9.77E-05
Insurance carriers,329051,1000,66169.5244,563.8021781,75.70663165,340.079385,979.5881947,186.1405623,167.9424219,19.6839524,83.84860905,8.836955914,1.528879925,0.948138042,0.187719687,0.296103057,0.061070268,0.005205279,0.030643592,0.965560177,0.24044127,0.383534502,0.760001491,0.08457288,0.288213728,0.012556235,0.001183834,0.00070003,0.000285241,9.82E-05,6.64E-05,3.75E-06,3.02E-05,0.000771652,0.000180618,4.01E-05,5.26E-05
"Insurance agencies, brokerages, and related",122859,1000,117453.2914,610.110058,24.9333642,361.4917079,996.5351301,317.2708052,280.9111741,31.18515799,100.1236685,13.06315659,2.61941969,1.608983487,0.318985715,0.527097253,0.103452598,0.008545292,0.052355345,1.646379208,0.41747276,0.658331994,1.300487507,0.105085681,0.536433651,0.019076125,0.020970927,0.016200719,0.001722835,0.001796728,0.00073562,5.49E-05,0.000460085,0.014682877,0.002537194,9.06E-05,0.000106525
"Funds, trusts, and other financial vehicles",88019,1000,97903.70908,565.756475,44.51696136,363.4000953,973.6735317,258.377061,246.2662022,28.17875673,76.18980648,13.36035526,2.231861234,1.374477913,0.277636338,0.435856364,0.091617548,0.007453658,0.044819414,1.4098912,0.351607763,0.59286743,1.135487567,0.078463493,0.409101522,0.015938705,0.000997479,0.000661078,0.00015749,5.50E-05,8.75E-05,3.44E-06,3.29E-05,0.000674514,0.00013269,7.22E-05,7.80E-05
Monetary authorities and depository credit intermediation,382979,1000,72649.45528,450.8417933,27.70893969,512.3978578,990.9485908,193.2641913,147.5328908,23.95855958,72.86578263,17.01310129,1.555703369,0.934299051,0.220900436,0.293447824,0.069712964,0.005411628,0.031931465,0.977689527,0.24819963,0.543191807,0.652768265,0.074930146,0.27260708,0.012205026,0.018825807,0.01117624,0.003687173,0.002019295,0.00139624,6.40E-05,0.000482869,0.012533328,0.002658342,8.39E-05,6.39E-05
Real estate,837554,1000,284687.968,179.8177851,113.5161037,704.8732208,998.2071097,523.8809019,824.6298223,73.3893002,100.2092104,29.79411281,5.722916909,3.726946833,0.641812739,0.991079693,0.230347203,0.01969069,0.11303975,3.722707107,0.834054625,1.123158652,3.870847508,0.096789113,0.58807615,0.044040542,0.044348355,0.026624719,0.006737109,0.00692381,0.002894576,0.000116117,0.001052023,0.030266632,0.006005852,-0.00010078,-5.34E-06
Automotive equipment rental and leasing,89632,1000,137191.7366,450.8669424,67.02741478,473.4208841,991.3152413,367.1585034,333.0685763,40.46864631,129.8784044,19.19178367,3.039000734,1.877167847,0.394497182,0.569155501,0.126666682,0.010421054,0.061092468,1.923032482,0.475632503,0.831025175,1.528006448,0.133403784,0.522898003,0.023664103,0.008024253,0.005530754,0.001044651,0.000823681,0.000417082,3.29E-05,0.000175183,0.005339375,0.001095148,9.03E-05,9.76E-05
Video tape and disc rental,7998,1000,438737.4569,506.3637755,133.5554267,452.5281558,1092.447358,1086.122738,1395.627244,124.0990355,221.5674068,30.50935001,10.6115714,6.794321045,1.239030665,1.91736992,0.414508359,0.036772884,0.209568526,6.812603288,1.596818249,2.04240993,6.626618172,0.240711496,1.640558451,0.061249871,0.055698327,0.024218466,0.020230443,0.004439751,0.00525651,0.000197202,0.001355955,0.033554744,0.009417809,-2.28E-05,0.000148126
Commercial and industrial machinery and equipment rental and leasing,52800,1000,245166.93,508.3180259,65.90933995,418.2594264,992.4867923,845.46765,514.603243,104.7447788,1442.854598,28.78880096,7.412693844,4.455870388,1.193277646,1.256350046,0.335343618,0.024631896,0.14722025,4.620980264,1.187902606,2.157852706,2.349309257,1.150176598,1.69399898,0.061308876,2.701130866,1.608750693,0.592802687,0.289678992,0.14812113,0.00912836,0.052649004,1.686858905,0.420863899,0.000393798,0.000335188
General and consumer goods rental except video tapes and discs,24115,1000,230462.8746,613.0185058,75.11656453,305.1493608,993.2844311,601.3030519,612.0446508,65.07193299,175.4345053,21.13991818,5.581866092,3.347242224,0.838000491,1.009954667,0.255767147,0.018536524,0.112365039,3.522492465,0.872801184,1.358179329,2.954243918,0.210238454,1.02415241,0.035039541,0.438866495,0.136714274,0.20929203,0.028175121,0.053486683,0.000958408,0.010239979,0.264211002,0.071341774,0.000307958,0.000182223
Lessors of nonfinancial intangible assets,124250,1000,175106.9676,101.9439245,20.32140335,860.7766394,983.0419673,374.7693919,524.447995,38.54904393,68.09998015,7.28618755,3.87512264,2.479769429,0.415259799,0.740938179,0.150396357,0.012596544,0.076162333,2.484615594,0.58912407,0.670853946,2.496840075,0.069762136,0.615716921,0.021944667,0.069031768,0.038484344,0.008385201,0.014540163,0.006009152,0.000116104,0.001496805,0.042101169,0.013505438,-6.37E-06,6.91E-05
Legal services,205688,1000,98863.21347,551.8103608,22.74657869,422.6467496,997.2036891,270.0818088,246.7751168,28.72692939,76.32153404,14.89826693,2.199963486,1.36257961,0.266538548,0.432728305,0.0867224,0.007334477,0.044060146,1.387726031,0.34723701,0.562599396,1.126183822,0.077530064,0.417033773,0.016613828,0.011242121,0.007533519,0.001726383,0.001205474,0.000378414,2.85E-05,0.000369793,0.007390104,0.001586389,6.02E-05,7.94E-05
Accounting and bookkeeping services,101089,1000,117539.8855,629.5515637,20.98203536,346.2157213,996.7493204,350.7618021,277.5393331,33.93391574,82.16053428,17.28050008,2.752493061,1.67323542,0.328683969,0.581454728,0.105297764,0.008768992,0.055052187,1.716080146,0.447684955,0.732983208,1.27464112,0.086860113,0.638388779,0.019611943,0.017924522,0.012403759,0.00277357,0.001564314,0.000604448,3.85E-05,0.000539887,0.012245524,0.002284266,0.000119869,0.000139121
Architectural and engineering services,176724,1000,185688.0155,677.6548019,25.82718593,289.2603272,992.7423151,441.052673,481.8829022,52.5166277,130.0578282,31.90136958,3.89629126,2.417024794,0.499430757,0.728818302,0.159744247,0.013015777,0.078257383,2.485969672,0.600797787,1.067609197,1.999800258,0.126093233,0.663366172,0.039417628,0.651850862,0.401582382,0.081010939,0.128279071,0.026289466,0.001637576,0.013051429,0.429792589,0.095325536,0.000101264,9.46E-05
Specialized design services,22219,1000,155493.0416,440.4653942,47.03349456,508.6010182,996.0999069,440.4154489,411.2380188,49.85834244,156.1708917,29.51367754,3.744656886,2.322031106,0.457026515,0.730702073,0.14748816,0.012639818,0.074769213,2.361354545,0.591199832,0.957772113,1.869825587,0.160876576,0.724218809,0.031956929,0.019354969,0.006591603,0.00775139,0.00159268,0.002773913,5.28E-05,0.000592595,0.011661959,0.003315757,9.86E-05,0.000135831
Custom computer programming services,146994,1000,183063.9165,716.0431668,25.64268358,245.3715796,987.05743,386.656608,603.1378965,43.31587369,60.57482097,12.79702817,4.086207592,2.66071111,0.442516989,0.729875553,0.159090423,0.013728368,0.080285149,2.650475133,0.600069721,0.66654694,2.876072292,0.05779854,0.462985375,0.02280181,0.005017841,0.003088705,0.000616179,0.000914209,0.000274838,1.30E-05,0.000110907,0.003397959,0.000699113,-7.15E-05,1.02E-05
Computer systems design services,45724,1000,173207.2934,716.5532594,43.94267346,212.1891148,972.6850476,455.3176064,409.4526391,49.03981551,125.2770537,31.42196102,3.576399797,2.224485948,0.451627315,0.67059756,0.145710623,0.012222746,0.071755606,2.268299796,0.556554953,0.943622092,1.871043744,0.125821696,0.605224641,0.030683293,0.027218312,0.016839406,0.003543534,0.004567166,0.001584837,7.37E-05,0.000609671,0.018541289,0.003696032,8.46E-05,0.00010506
"Other computer related services, including facilities management",74798,1000,131619.9523,623.4082561,29.74931873,323.6289727,976.7865475,350.1239032,312.8666536,37.05089989,98.03744739,22.53994365,2.708869735,1.685946199,0.34333065,0.505213782,0.110635114,0.009331494,0.054412495,1.719093158,0.420433705,0.69942242,1.4345891,0.096472466,0.455859653,0.022523775,0.008280728,0.005064174,0.000953422,0.001626971,0.00043442,2.07E-05,0.000181057,0.005598495,0.001161286,6.26E-05,7.66E-05
Management consulting services,111107,1000,129011.2867,589.128935,23.66823877,377.8995702,990.696744,492.8023021,274.6761329,43.07507496,120.2007709,25.20055321,3.152330498,1.874803975,0.403649877,0.675507366,0.124527493,0.01007111,0.063770676,1.944490209,0.525226221,0.97467753,1.221369846,0.127109298,0.804067465,0.025093547,0.068682274,0.041016611,0.013653665,0.008627642,0.003788125,0.000135066,0.001461165,0.042637184,0.010903267,0.000195842,0.000197856
Environmental and other technical consulting services,18224,1000,143101.2683,570.8530762,21.80741125,398.6209294,991.2814169,368.3704101,314.4686324,40.65359088,111.7314994,19.83297111,2.882246895,1.776266795,0.371225404,0.547010945,0.119038671,0.010172777,0.058532303,1.818409965,0.453324848,0.799916025,1.39470826,0.112817244,0.545627925,0.029174021,0.090751474,0.046711677,0.023346211,0.010775766,0.007167457,0.000327615,0.002422748,0.056529285,0.014108029,9.14E-05,0.000100252
Scientific research and development services,104808,1000,346432.8817,764.1183502,25.59775718,195.302699,985.0188065,1119.593717,887.801379,137.1428748,300.427748,99.84551103,7.879999902,4.666115317,1.241743841,1.387820286,0.395315411,0.026366842,0.162638206,5.026943373,1.216339132,2.992223594,3.28389479,0.366763347,1.15708757,0.080011611,1.485241221,0.837347971,0.262521635,0.255962187,0.093179014,0.003893212,0.032337203,0.984459171,0.214807985,0.000518348,0.000194566
Advertising and related services,236302,1000,238917.2471,564.2056675,39.05974401,389.376317,992.6417286,744.3051821,679.8106088,83.36967232,397.5644667,32.55872347,6.254986412,3.892583589,0.733869146,1.242371384,0.239394049,0.021695353,0.12507289,3.933548372,0.992903237,1.541800956,2.978517071,0.404881123,1.269687582,0.060078088,0.02235082,0.01422395,0.002773762,0.003663416,0.001142764,4.49E-05,0.000502065,0.014418722,0.003342633,0.000145113,0.00024437
Photographic services,9292,1000,232528.2456,417.2738137,79.83160177,491.9512521,989.0566675,626.2303305,646.8048718,66.48746392,183.1561697,32.34849726,5.423687022,3.367163434,0.651987788,1.051254787,0.225415231,0.017871462,0.109994321,3.434895585,0.848577474,1.265527077,2.91059061,0.187557882,1.016808376,0.043187734,0.098601415,0.047982838,0.020808738,0.006066156,0.019313546,0.000272005,0.004158132,0.069938647,0.011548657,0.000137243,0.000172049
Veterinary services,14779,1000,293840.3022,608.9384157,58.12136625,315.0232197,982.0830016,764.0718931,585.0231845,119.935101,383.9010467,149.8782413,5.994232939,3.723032517,0.78494377,1.096133408,0.247621052,0.021434563,0.121067629,3.786594272,0.940559255,1.92918755,2.603579946,0.410221104,0.99351353,0.057720605,0.09490127,0.069435038,0.007390416,0.012856418,0.003142524,0.000177382,0.001899492,0.062387669,0.013571086,0.000149337,0.00020108
All other miscellaneous professional and technical services,49844,1000,117259.5953,295.3667427,26.81665495,667.7732366,989.9566343,310.0571029,298.2780641,34.30346156,90.90551129,15.78344204,2.592701029,1.61567741,0.310351952,0.504944725,0.101401957,0.008763526,0.05156146,1.638885451,0.406587448,0.647646588,1.366133899,0.09073035,0.467450106,0.020737102,0.018573619,0.010437744,0.001777018,0.005194457,0.000683859,7.50E-05,0.000405496,0.012246423,0.002618617,5.71E-05,8.59E-05
Management of companies and enterprises,440898,1000,170086.2939,719.7886189,33.89065319,238.979976,992.6592481,394.6132717,458.0675842,43.6098424,118.9537616,18.55769194,3.561314901,2.26350373,0.421881181,0.649438389,0.143061859,0.012132671,0.07129707,2.280590923,0.540706215,0.796502417,2.107348061,0.118464909,0.509415072,0.029581514,0.060996216,0.042131654,0.005413098,0.009451416,0.002111668,0.000143769,0.001744611,0.038087512,0.009819965,1.60E-05,6.34E-05
Office administrative services,35240,1000,158624.5821,738.9243786,30.37370529,226.1727416,995.4708254,438.6441883,369.2273263,45.33825515,124.426406,28.84113616,3.288999289,2.035076143,0.417532607,0.625599397,0.133734229,0.01114201,0.065914904,2.078073255,0.51645989,0.875770355,1.688265336,0.122302256,0.576543453,0.026113667,0.041806967,0.022259949,0.010911027,0.004471856,0.003150737,7.74E-05,0.000935979,0.026468913,0.006642822,9.28E-05,0.000110987
Facilities support services,13957,1000,235647.0053,677.489563,29.36171656,285.2641673,992.1154469,539.306537,533.8312003,66.12536249,207.248171,24.81200473,4.861623863,3.019323529,0.65798397,0.861148386,0.209526886,0.016625868,0.097015224,3.086999663,0.751641582,1.316990684,2.513070105,0.215704944,0.77174111,0.044111048,0.101064244,0.061598802,0.0112181,0.021052074,0.004884446,0.000489632,0.00182119,0.066288788,0.01475709,0.000121463,0.000130007
Employment services,137930,1000,88134.36901,903.6340394,14.21229591,78.48106352,996.3273988,220.6665016,210.32418,23.00496622,55.56146112,14.37865809,1.786636535,1.122845625,0.217203681,0.332475348,0.072501172,0.005938851,0.035671859,1.141589527,0.273010703,0.424319575,1.010759472,0.053800916,0.285538342,0.01221722,0.095866066,0.06499992,0.009912635,0.014257972,0.004692372,0.000136079,0.001867088,0.066797362,0.011682719,2.59E-05,3.70E-05
Business support services,56330,1000,185731.711,607.2884114,36.72312451,343.308047,987.3195829,624.7867255,448.439382,56.87106237,186.3008258,25.35934362,4.898981039,2.938260737,0.578965217,1.085368383,0.183151358,0.015341317,0.097894027,3.024822444,0.815774998,1.326348114,2.034834714,0.198633686,1.303565724,0.035562282,0.044639576,0.026822147,0.006825208,0.008008834,0.001955425,0.000148239,0.000879724,0.02873866,0.006827322,0.000269548,0.00030496
Travel arrangement and reservation services,27997,1000,244576.0981,601.3008315,28.58935794,357.491204,987.3813934,544.665275,415.1529224,52.99722644,188.3124264,31.22927234,4.125105104,2.545993821,0.510448233,0.806432873,0.165949552,0.013465547,0.082815078,2.602883816,0.650855066,1.109271539,1.946284644,0.183029634,0.853820549,0.03268822,0.260813179,0.185789648,0.023049848,0.035082076,0.011339777,0.00036473,0.0051871,0.181341632,0.031521052,0.00012552,0.000147898
Investigation and security services,36484,1000,158512.1997,750.4652748,39.51723132,205.7302111,995.7127172,403.2041242,359.5211783,47.24434149,272.0797664,23.36194674,3.671225614,2.347054071,0.438145538,0.653028895,0.147941611,0.011328861,0.073726638,2.352743259,0.55409766,1.052257647,1.662164167,0.345110214,0.584630746,0.02704248,0.496329465,0.384466263,0.025579369,0.058390256,0.017230562,0.000528561,0.010134453,0.346025746,0.056627647,-2.88E-06,5.71E-05
